X,sample_id,Strain,Promoter,mCherry,Terminator,BioRep,mCh_per_OD_at_max_gr,norm_fluo_per_OD_at_max_gr,remove
43,pRPS3-mCherry-tHSP26_biorep5,pRPS3-mCherry-tHSP26,pRPS3,mCherry,tHSP26,biorep5,2462.931691133322,0.7841317273871243,FALSE
44,pRPS3-mCherry-tPAB1_biorep5,pRPS3-mCherry-tPAB1,pRPS3,mCherry,tPAB1,biorep5,5162.567772981171,1.6436238163463113,FALSE
45,pRPS3-mCherry-tPGK1_biorep5,pRPS3-mCherry-tPGK1,pRPS3,mCherry,tPGK1,biorep5,3112.5127200060915,0.9909409929796786,FALSE
46,pRPS3-mCherry-tPMA1_biorep5,pRPS3-mCherry-tPMA1,pRPS3,mCherry,tPMA1,biorep5,835.2252152031302,0.2659134206248114,FALSE
47,pRPS3-mCherry-tRPS13_biorep5,pRPS3-mCherry-tRPS13,pRPS3,mCherry,tRPS13,biorep5,4015.392398248392,1.278393789284025,FALSE
48,pRPS3-mCherry-tRPS3_biorep5,pRPS3-mCherry-tRPS3,pRPS3,mCherry,tRPS3,biorep5,5845.860942646496,1.8611661279623306,FALSE
49,pRPS3-mCherry-tSRO9_biorep5,pRPS3-mCherry-tSRO9,pRPS3,mCherry,tSRO9,biorep5,1572.2841921738232,0.5005733305520214,FALSE
50,pRPS3-mCherry-tSUN4_biorep5,pRPS3-mCherry-tSUN4,pRPS3,mCherry,tSUN4,biorep5,1448.131009719585,0.4610462702730358,FALSE
51,pRPS3-mCherry-tTOS6_biorep5,pRPS3-mCherry-tTOS6,pRPS3,mCherry,tTOS6,biorep5,1586.9687983948854,0.5052485173156553,FALSE
53,pRPS3-mCherry-tCLN2_biorep6_biorep6,pRPS3-mCherry-tCLN2,pRPS3,mCherry,tCLN2,biorep6,5016.5267044212,1.5971282372071685,FALSE
54,pRPS3-mCherry-tHSP26_biorep6,pRPS3-mCherry-tHSP26,pRPS3,mCherry,tHSP26,biorep6,2506.4790163258062,0.7979960336726789,FALSE
55,pRPS3-mCherry-tPAB1_biorep6,pRPS3-mCherry-tPAB1,pRPS3,mCherry,tPAB1,biorep6,4819.359661886933,1.534355512245778,FALSE
56,pRPS3-mCherry-tPGK1_biorep6,pRPS3-mCherry-tPGK1,pRPS3,mCherry,tPGK1,biorep6,3338.7962144318376,1.0629836192539004,FALSE
57,pRPS3-mCherry-tPMA1_biorep6,pRPS3-mCherry-tPMA1,pRPS3,mCherry,tPMA1,biorep6,889.3735550977954,0.2831528071045928,FALSE
58,pRPS3-mCherry-tRPS13_biorep6,pRPS3-mCherry-tRPS13,pRPS3,mCherry,tRPS13,biorep6,4675.948545336899,1.48869723964661,FALSE
59,pRPS3-mCherry-tRPS3_biorep6,pRPS3-mCherry-tRPS3,pRPS3,mCherry,tRPS3,biorep6,5465.177322796083,1.7399666219037888,FALSE
60,pRPS3-mCherry-tSRO9_biorep6,pRPS3-mCherry-tSRO9,pRPS3,mCherry,tSRO9,biorep6,1428.8896961063278,0.4549203494709781,FALSE
61,pRPS3-mCherry-tSUN4_biorep6,pRPS3-mCherry-tSUN4,pRPS3,mCherry,tSUN4,biorep6,1323.2924508139768,0.4213010044211316,FALSE
62,pRPS3-mCherry-tTOS6_biorep6,pRPS3-mCherry-tTOS6,pRPS3,mCherry,tTOS6,biorep6,1754.63796049919,0.5586299042959422,FALSE
31,pRPS13-mCherry-tCLN2_biorep1,pRPS13-mCherry-tCLN2,pRPS13,mCherry,tCLN2,biorep1,5037.005184634347,1.3690365409676664,FALSE
32,pRPS13-mCherry-tHSP26_biorep1,pRPS13-mCherry-tHSP26,pRPS13,mCherry,tHSP26,biorep1,4719.780792623534,1.282816303260966,FALSE
33,pRPS13-mCherry-tPAB1_biorep1,pRPS13-mCherry-tPAB1,pRPS13,mCherry,tPAB1,biorep1,4967.535344886699,1.3501549346116066,FALSE
34,pRPS13-mCherry-tPGK1_biorep1,pRPS13-mCherry-tPGK1,pRPS13,mCherry,tPGK1,biorep1,3638.319298076267,0.9888796783392287,FALSE
35,pRPS13-mCherry-tPMA1_biorep1,pRPS13-mCherry-tPMA1,pRPS13,mCherry,tPMA1,biorep1,828.2980149271591,0.22512787016886526,FALSE
36,pRPS13-mCherry-tRPS13_biorep1,pRPS13-mCherry-tRPS13,pRPS13,mCherry,tRPS13,biorep1,5161.304198020412,1.4028204830312687,FALSE
37,pRPS13-mCherry-tRPS3_biorep1,pRPS13-mCherry-tRPS3,pRPS13,mCherry,tRPS3,biorep1,5390.784158297942,1.465192158168338,FALSE
38,pRPS13-mCherry-tSRO9_biorep1,pRPS13-mCherry-tSRO9,pRPS13,mCherry,tSRO9,biorep1,1563.8209208416183,0.4250398611247999,FALSE
39,pRPS13-mCherry-tSUN4_biorep1,pRPS13-mCherry-tSUN4,pRPS13,mCherry,tSUN4,biorep1,1402.563945492001,0.3812109025180054,FALSE
40,pRPS13-mCherry-tTOS6_biorep1,pRPS13-mCherry-tTOS6,pRPS13,mCherry,tTOS6,biorep1,1812.764879801645,0.4927017681462779,FALSE
31,pRPS13-mCherry-tCLN2_biorep2,pRPS13-mCherry-tCLN2,pRPS13,mCherry,tCLN2,biorep2,6413.874214377388,1.7432636748993853,FALSE
32,pRPS13-mCherry-tHSP26_biorep2,pRPS13-mCherry-tHSP26,pRPS13,mCherry,tHSP26,biorep2,5135.430783670946,1.3957881992861436,FALSE
33,pRPS13-mCherry-tPAB1_biorep2,pRPS13-mCherry-tPAB1,pRPS13,mCherry,tPAB1,biorep2,5907.783339937691,1.605710332236205,FALSE
34,pRPS13-mCherry-tPGK1_biorep2,pRPS13-mCherry-tPGK1,pRPS13,mCherry,tPGK1,biorep2,4139.72662267506,1.1251600521174054,FALSE
35,pRPS13-mCherry-tPMA1_biorep2,pRPS13-mCherry-tPMA1,pRPS13,mCherry,tPMA1,biorep2,1104.2278749308011,0.30012443007740963,FALSE
36,pRPS13-mCherry-tRPS13_biorep2,pRPS13-mCherry-tRPS13,pRPS13,mCherry,tRPS13,biorep2,5186.536181754581,1.4096784286689974,FALSE
37,pRPS13-mCherry-tRPS3_biorep2,pRPS13-mCherry-tRPS3,pRPS13,mCherry,tRPS3,biorep2,6250.557403334099,1.698874861730275,FALSE
38,pRPS13-mCherry-tSRO9_biorep2,pRPS13-mCherry-tSRO9,pRPS13,mCherry,tSRO9,biorep2,2074.226186577956,0.5637658369540434,FALSE
39,pRPS13-mCherry-tSUN4_biorep2,pRPS13-mCherry-tSUN4,pRPS13,mCherry,tSUN4,biorep2,1781.8052726725168,0.48428707888149874,FALSE
40,pRPS13-mCherry-tTOS6_biorep2,pRPS13-mCherry-tTOS6,pRPS13,mCherry,tTOS6,biorep2,1993.9095254925965,0.5419361107886225,FALSE
31,pRPS13-mCherry-tCLN2_biorep3,pRPS13-mCherry-tCLN2,pRPS13,mCherry,tCLN2,biorep3,4517.601573440978,1.2278648531950433,FALSE
32,pRPS13-mCherry-tHSP26_biorep3,pRPS13-mCherry-tHSP26,pRPS13,mCherry,tHSP26,biorep3,3702.19813326978,1.0062416734868909,FALSE
33,pRPS13-mCherry-tPAB1_biorep3,pRPS13-mCherry-tPAB1,pRPS13,mCherry,tPAB1,biorep3,4252.961774350259,1.155936883723271,FALSE
34,pRPS13-mCherry-tPGK1_biorep3,pRPS13-mCherry-tPGK1,pRPS13,mCherry,tPGK1,biorep3,3293.965374743763,0.8952857496480476,FALSE
35,pRPS13-mCherry-tPMA1_biorep3,pRPS13-mCherry-tPMA1,pRPS13,mCherry,tPMA1,biorep3,790.846220119786,0.2149486319634873,FALSE
36,pRPS13-mCherry-tRPS13_biorep3,pRPS13-mCherry-tRPS13,pRPS13,mCherry,tRPS13,biorep3,4617.546960167612,1.2550295833301859,FALSE
37,pRPS13-mCherry-tRPS3_biorep3,pRPS13-mCherry-tRPS3,pRPS13,mCherry,tRPS3,biorep3,4536.196723296192,1.2329189356713164,FALSE
38,pRPS13-mCherry-tSRO9_biorep3,pRPS13-mCherry-tSRO9,pRPS13,mCherry,tSRO9,biorep3,1580.063543861915,0.4294545368340454,FALSE
39,pRPS13-mCherry-tSUN4_biorep3,pRPS13-mCherry-tSUN4,pRPS13,mCherry,tSUN4,biorep3,1288.017556469336,0.35007768218972213,FALSE
40,pRPS13-mCherry-tTOS6_biorep3,pRPS13-mCherry-tTOS6,pRPS13,mCherry,tTOS6,biorep3,1764.1523802658166,0.47948909796373684,FALSE
31,pRPS13-mCherry-tCLN2_biorep4,pRPS13-mCherry-tCLN2,pRPS13,mCherry,tCLN2,biorep4,4679.304541695256,1.2718150307724585,FALSE
32,pRPS13-mCherry-tHSP26_biorep4,pRPS13-mCherry-tHSP26,pRPS13,mCherry,tHSP26,biorep4,4781.401300039352,1.2995644945438678,FALSE
33,pRPS13-mCherry-tPAB1_biorep4,pRPS13-mCherry-tPAB1,pRPS13,mCherry,tPAB1,biorep4,5615.5251686386655,1.5262758069104583,FALSE
34,pRPS13-mCherry-tPGK1_biorep4,pRPS13-mCherry-tPGK1,pRPS13,mCherry,tPGK1,biorep4,3882.544059947977,1.0552589277057887,FALSE
35,pRPS13-mCherry-tPMA1_biorep4,pRPS13-mCherry-tPMA1,pRPS13,mCherry,tPMA1,biorep4,1003.800421250737,0.2728286761989418,FALSE
36,pRPS13-mCherry-tRPS13_biorep4,pRPS13-mCherry-tRPS13,pRPS13,mCherry,tRPS13,biorep4,5261.289206646283,1.4299959822297517,FALSE
37,pRPS13-mCherry-tRPS3_biorep4,pRPS13-mCherry-tRPS3,pRPS13,mCherry,tRPS3,biorep4,6288.57587312425,1.709208119780747,FALSE
38,pRPS13-mCherry-tSRO9_biorep4,pRPS13-mCherry-tSRO9,pRPS13,mCherry,tSRO9,biorep4,2148.242163160801,0.5838830639258233,FALSE
39,pRPS13-mCherry-tSUN4_biorep4,pRPS13-mCherry-tSUN4,pRPS13,mCherry,tSUN4,biorep4,1732.8057877158606,0.47096922771094696,FALSE
